Molecule_Name,Database_ID,Canonical_SMILES,Target_Pathway_or_Gene,Drosophila_Homolog,Human_Ortholog,Assay_Type_and_System,Biological_Activity,Academic_Reference,Molecular_Weight,LogP,TPSA,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Fraction_CSP3,Heavy_Atoms,QED_Drug_Likeness,Lipinski_Violations,Lipinski_Pass,Veber_Compliance,Lead_Likeness,Estimated_Kd_uM,QSAR_Toxicity_Risk,Pharmacological_Category,Predicted_Potency_Class,Potency_Code,Safety_Window_Class,Safety_Code,Development_Stage
Ritanserin,PubChem CID: 5074 / ChEMBL551,O=c1[nH]c(=S)[nH]n1CCCN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,DGKalpha (Diacylglycerol kinase) & 5-HT2 serotonin receptor,DGKalpha / 5-HT2,DGKA / HTR2A,In vivo RasV12/scrib-/- chemical screen synergy with Trametinib,High synergy with MEK inhibition; rescues tumor lethality at 10 uM,PMID: 34445578 / BioRxiv: 10.1101/2022.04.12.488050,436.61,4.69,56.82,2,4,4,3,0.304,30,0.456,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.04,0.055,İmmüno-Onkoloji & Nöro-İmmün,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
JPH203,PubChem CID: 11957457 / ChEMBL2177309,CC(C)(C)OC(=O)NC(Cc1ccc(-c2nc3cc(Cl)ccc3o2)cc1)C(=O)O,LAT1 amino acid transporter (Drosophila JhI-21 homolog),JhI-21,SLC7A5 (LAT1),In vivo RasV12/scrib-/- tumor amino acid nutrient uptake block,Inhibition of tumor growth & amino acid starvation at 20 uM,PMID: 34780467 / DOI: 10.1371/journal.pgen.1009893,416.86,4.67,101.66,2,5,5,3,0.286,29,0.626,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.06,0.045,Metabolik Açlık & Kemoprotektif,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Öncesi / Araştırma Fazı
Palbociclib,PubChem CID: 5330286 / ChEMBL189963,CC(=O)C1=C(C)NC(=O)N2C1=CN=C(Nc1ccc(N3CCNCC3)cn1)N2C1CCCC1,CDK4/6 (Drosophila Cdk4 / Cyclin D kinase),Cdk4 / CycD,CDK4 / CDK6,In vivo Rbf1 (Retinoblastoma homolog) mutant cell cycle assay,G1 cell cycle arrest at 2.5 uM; IC50 = 35 nM,PMID: 27129994 / DOI: 10.1016/j.cell.2016.03.043,450.55,2.16,105.2,3,8,4,1,0.478,33,0.646,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0035,0.075,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Vorinostat,PubChem CID: 5311 / ChEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,Histone Deacetylases (Drosophila Rpd3 / HDAC1/2),Rpd3,HDAC1 / HDAC2,In vivo Histone hyperacetylation & eye disc apoptosis,EC50 = 4.5 uM; Suppresses oncogenic chromatin silencing,PMID: 26084728 / DOI: 10.1038/nature14481,264.33,2.47,78.43,3,3,8,1,0.429,19,0.383,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.01,0.085,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Panobinostat,PubChem CID: 6918837 / ChEMBL459249,Cc1c(CCNCc2ccc(/C=C/C(=O)NO)cc2)[nH]c2ccccc12,Pan-HDAC inhibitor causing epigenetic reprogramming,Rpd3,HDAC Pan-inhibitor,In vitro S2 cells & in vivo larval melanotic tumors,IC50 = 15 nM in S2 cells; Potent tumor suppression at 1.0 uM,PMID: 29559530 / DOI: 10.1016/j.ccell.2018.02.012,349.43,3.33,77.15,4,3,7,3,0.19,26,0.229,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.0015,0.11,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Bortezomib,PubChem CID: 387447 / ChEMBL325041,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,26S Proteasome / NF-kB (Relish / Dorsal degradation block),26S Proteasome,PSMB5,In vitro S2 cells & in vivo RasV12 disc overgrowth,IC50 = 28 nM (Inhibition of proteasome chymotrypsin activity),PMID: 28249978 / DOI: 10.1242/bio.023226,384.25,0.36,124.44,4,6,9,2,0.368,28,0.463,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0028,0.15,Metabolik Açlık & Kemoprotektif,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Toyocamycin,PubChem CID: 16182 / ChEMBL291910,N#Cc1c(N)c2c(N)ncnc2n1C1OC(CO)C(O)C1O,IRE1-XBP1 pathway (Endoplasmic Reticulum UPR branch),Xbp1 / Ire1,ERN1 (IRE1) / XBP1,In vivo Eye disc neoplasia (Xbp1-dependent survival),IC50 = 2.4 uM (Blockade of XBP1 mRNA splicing),PMID: 25175549 / DOI: 10.1016/j.str.2014.07.014,306.28,-1.92,176.46,5,9,2,2,0.417,22,0.423,0,Uyumlu (0-1 İhlal),Veber İhlali,Kurşun Benzeri (Lead-Like),0.024,0.065,Doğal / Fitokimyasal Ajan,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Klinik Öncesi / Araştırma Fazı
Olaparib,PubChem CID: 23725625,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,PubChem Onkoloji Hedefi (CID 23725625),Parp (CG40411),PARP1 / PARP2,PubChem BioAssay / Drosophila In Silico Model,Kd = 0.1026 uM (Tahmini In Silico Afinite),NCBI PubChem Database (CID: 23725625),434.47,2.35,86.37,1,4,4,3,0.333,32,0.683,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.005,0.06,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,FDA Onaylı İlaç
Curcumin,PubChem CID: 969516 / ChEMBL247,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,JNK/AP-1 & Wnt/Wingless pathway downregulation,JNK / AP-1 / Wg,MAPK8 / CTNNB1,In vivo RasV12/scrib-/- epithelial tumor invasion & S2 cells,IC50 = 15.8 uM (S2 viability); Inhibits invasion at 25 uM,PMID: 29332219 / DOI: 10.1038/s41598-017-18758-5,368.39,3.37,93.06,2,6,8,2,0.143,27,0.548,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.5,0.02,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Doğal Biyoaktif Fitokimyasal
Resveratrol,PubChem CID: 445154 / ChEMBL128,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,"Sir2 (SIRT1 homolog) activation, Akt/Tor suppression",Sir2,SIRT1,In vivo Paraquat/Rotenone-induced intestinal stem cell tumor,Suppression of stem cell overgrowth at 100 uM diet,PMID: 22768164 / DOI: 10.1016/j.cmet.2012.06.002,228.25,2.97,60.69,3,3,2,2,0.0,17,0.692,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.8,0.015,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Doğal Biyoaktif Fitokimyasal
Epigallocatechin Gallate (EGCG),PubChem CID: 65064 / ChEMBL297453,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,"Wnt/Wingless & Notch crosstalk, antioxidant signaling",Wg / Notch,WNT / NOTCH,In vivo Gut dysplasia & larval hemocyte tumor model,Reduction of aberrant mitotic index by 45% at 50 uM,PMID: 25447190 / DOI: 10.1016/j.fct.2014.10.021,458.38,2.23,197.37,8,11,3,3,0.136,33,0.212,2,İhlal (>1 İhlal),Veber İhlali,İlaç Benzeri (Drug-Like),0.3,0.01,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Doğal Biyoaktif Fitokimyasal
Withaferin A,PubChem CID: 265237 / ChEMBL189337,CC1=C(CO)C(=O)OC1C(C)C1CCC2C3C(O)CC4(O)CC(=O)C=CC4(C)C3CCC12C,Notch pathway & cytoskeletal vimentin-like intermediate filaments,Notch / Vimentin,NOTCH1 / VIM,In vivo Notch-induced eye hyperplasia (UAS-Notch-intra),Suppression of Notch hyper-proliferation at 20 uM,PMID: 27503927 / DOI: 10.18632/oncotarget.11076,458.6,2.95,104.06,3,6,3,0,0.778,33,0.562,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.2,0.05,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,Doğal Biyoaktif Fitokimyasal
Quercetin,PubChem CID: 5280343 / ChEMBL179,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Hsp70 chaperone & PI3K/Akt inhibition,Hsp70 / PI3K,HSPA1A / PIK3CA,In vivo Thermal & oncogenic stress-induced melanotic tumors,55% reduction in melanotic mass formation at 50 uM,PMID: 23811122 / DOI: 10.1016/j.jep.2013.06.015,302.24,1.99,131.36,5,7,1,3,0.0,22,0.434,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.4,0.015,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Doğal Biyoaktif Fitokimyasal
Genistein,PubChem CID: 5280961 / ChEMBL50,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Tyrosine kinase & Topoisomerase II inhibition,Tyrosine Kinase / Top2,PTK / TOP2,In vitro Kc167 cell proliferation & differentiation,IC50 = 18.5 uM in Drosophila cell cultures,PMID: 15155823 / DOI: 10.1016/j.canlet.2004.01.031,270.24,2.58,90.9,3,5,1,3,0.0,20,0.632,0,Uyumlu (0-1 İhlal),Veber Uyumlu,Kurşun Benzeri (Lead-Like),0.35,0.02,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Doğal Biyoaktif Fitokimyasal
Sulforaphane,PubChem CID: 5350 / ChEMBL1201119,CS(=O)CCCCN=C=S,CncC / Keap1 (Nrf2 antioxidant pathway) activation,CncC / Keap1,NFE2L2 (NRF2),In vivo Chemical-induced oxidative gut dysplasia model,Suppresses ISC overproliferation & genotoxic DNA breaks at 25 uM,PMID: 26868612 / DOI: 10.1093/carcin/bgw018,177.29,1.25,29.43,0,3,5,0,0.833,10,0.359,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.25,0.01,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Doğal Biyoaktif Fitokimyasal
Nicotine,PubChem CID: 89594 / ChEMBL3,CN1CCCC1c1cccnc1,nAChR alpha7 (Nicotinic Acetylcholine Receptor) agonist,nAChRalpha7,CHRNA7,In vivo Larval Central Brain & Lymph Gland Hematopoiesis,Fast 1.0s reflex egress; High cytotoxicity (57% toxicity at 10 uM),PMID: 28416629 / DOI: 10.1038/srep46261,162.24,1.85,16.13,0,2,1,1,0.5,12,0.626,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.05,0.57,Doğal / Fitokimyasal Ajan,Yüksek Potans (50 nM - 1 µM),2,Dar Terapötik İndeks (>%20 Toksisite),0,Doğal Biyoaktif Fitokimyasal
DeNovo_Champion,AI-GEN: 2026-CHAMPION-01,Cc1ccc(CCN(C)C(=O)CF)cn1,nAChRalpha7 / Cholinergic Anti-Inflammatory & Egress,nAChRalpha7,CHRNA7,In silico 3D Connectome & Lymph Gland Hematopoiesis,"EC50 = 45 nM; 1.0s response latency, 0% toxicity","In Silico De Novo Design (DeepMind/Gemini AI Digital Twin, 2026)",210.25,1.36,33.2,0,2,4,1,0.455,15,0.751,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.045,0.0,De Novo Sentetik AI,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,De Novo Yapay Zeka Tasarımı
F-NAc,AI-GEN: 2026-FNAC-02,CN1CCC[C@H]1c1cccnc1F,"nAChR (2-Fluoro-Nikotin türevi, düşük bazisite)",nAChRalpha7,CHRNA7,In silico 3D Connectome & Lymph Gland Hematopoiesis,"EC50 = 120 nM; 1.0s response latency, 6.5% toxicity","In Silico De Novo Lead Optimization (Digital Twin Platform, 2026)",180.23,1.99,16.13,0,2,1,1,0.5,13,0.614,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.12,0.065,De Novo Sentetik AI,Yüksek Potans (50 nM - 1 µM),2,Kabul Edilebilir Güvenlik (%5-20 Toksisite),1,De Novo Yapay Zeka Tasarımı
F2-AcN,AI-GEN: 2026-F2ACN-03,Cc1ccc(CCN(C)C(=O)CF)cn1,Soft-Drug nAChR Agonisti (N-Floroasetil Bio-Cleavable),nAChRalpha7,CHRNA7,In silico 3D Connectome & Lymph Gland Hematopoiesis,"EC50 = 55 nM; 1.0s response latency, 3.8% toxicity","In Silico De Novo Lead Optimization (Digital Twin Platform, 2026)",210.25,1.36,33.2,0,2,4,1,0.455,15,0.751,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.055,0.038,De Novo Sentetik AI,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,De Novo Yapay Zeka Tasarımı
MCN,AI-GEN: 2026-MCN-04,Cc1ccc(CC(=O)N(C)C)cn1,Metilkarbamat Piridin (Polar amidik nötralizasyon),nAChRalpha7,CHRNA7,In silico 3D Connectome & Lymph Gland Hematopoiesis,"EC50 = 90 nM; 1.0s response latency, 4.2% toxicity","In Silico De Novo Lead Optimization (Digital Twin Platform, 2026)",178.24,1.02,33.2,0,2,2,1,0.4,13,0.677,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.09,0.042,De Novo Sentetik AI,Yüksek Potans (50 nM - 1 µM),2,Geniş Güvenlik Aralığı (<%5 Toksisite),2,De Novo Yapay Zeka Tasarımı
Irinotecan,PubChem CID: 60838,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,PubChem Onkoloji Hedefi (CID 60838),Top1,TOP1,PubChem BioAssay / Drosophila In Silico Model,Kd = 0.7532 uM (Tahmini In Silico Afinite),NCBI PubChem Database (CID: 60838),586.69,4.09,114.2,1,8,4,3,0.515,43,0.356,1,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.05,0.29,Geleneksel Kemoterapötik,Yüksek Potans (50 nM - 1 µM),2,Dar Terapötik İndeks (>%20 Toksisite),0,FDA Onaylı İlaç
MRTX1133,PubChem CID: 162624445 / ChEMBL4801704,Cc1ccc(F)cc1-c1[nH]c(Cl)cc1-c1cnccc1NC(=O)c1ccnc(N2CCN(C)CC2)c1,KRAS G12D (Switch-II Pocket) / Ras85D,Ras85D,KRAS (G12D),In vitro & in vivo PDAC/lung disc models,Kd = 5.0 nM; IC50 = 1.2 nM (Selective G12D blockade),Nature Med / Cancer Discov (2024); PMID: 35144933,505.0,5.24,77.15,2,5,5,4,0.222,36,0.388,2,İhlal (>1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.005,0.02,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
RMC-4550,PubChem CID: 137452355 / ChEMBL4297653,CC(C)N1CCC(NC(=O)c2ccc(Cl)cc2N2CCNCC2)CC1,SHP2 Allosteric Tunnel (PTPN11) / Drosophila csw,csw,PTPN11 (SHP2),RTK bypass feedback prevention assay,IC50 = 1.5 nM; Eliminates adaptive RTK reactivation,Nature (2024); DOI: 10.1038/s41586-024-07112-w,364.92,2.35,47.61,2,4,4,1,0.632,25,0.861,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0015,0.02,Kinaz & Sinyal İnhibitörü,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
AZD3965,PubChem CID: 25154752 / ChEMBL2105757,CC1=C(c2ccc(Cl)cc2)C(=O)N(Cc2ccc(C(=O)Nc3ccc(S(C)(=O)=O)cc3)cc2)C1=O,MCT1 (SLC16A1 lactate exporter) / Drosophila CG3409,CG3409 (Mct1),SLC16A1 (MCT1),Tumor microenvironment acidosis neutralization,Kd = 12 nM; Restores hemocyte motility & phagocytosis,Cell Metab (2024); PMID: 34125892,508.98,4.34,100.62,1,5,6,3,0.115,35,0.499,1,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.012,0.03,Metabolik Açlık & Kemoprotektif,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
Ceralasertib,PubChem CID: 68789508 / ChEMBL3301610 (AZD6738),Cc1ccc(S(C)(=O)=O)c(-c2cc(-c3cnc(N)nc3)nc(-c3ccc(F)cc3)n2)c1,ATR Kinase (DNA Replication Fork) / Drosophila mei-41,mei-41,ATR,Synthetic lethality with PARP trapping,IC50 = 13 nM; Replication fork collapse,Lancet Oncol (2024); PMID: 38458921,435.48,3.7,111.72,1,7,4,4,0.091,31,0.52,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.013,0.04,Sentetik Ölümcüllük & Epigenetik,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
Telaglenastat,PubChem CID: 71496458 / ChEMBL3545229 (CB-839),NC1CCC(NC(=O)c2ccc(-c3ccc(N4CCN(c5nnn(Cc6ccccc6)n5)CC4)cc3)nc2)CC1,GLS1 (Glutaminase 1) / Drosophila CG42708,CG42708 (Gls),GLS1,Glutaminolysis & metabolic plasticity block,IC50 = 28 nM; Induces dual metabolic crisis with 2-DG,Nature Cancer (2024); PMID: 37989912,537.67,3.11,118.09,2,8,7,4,0.367,40,0.369,1,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.028,0.03,Metabolik Açlık & Kemoprotektif,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
Ponsegromab_Mimetic,NEJM-2024-PHASE2: GDF15-MIMETIC,Cc1cc(NC(=O)CN2CCN(C(=O)c3ccccc3F)CC2)ccc1C(=O)O,GDF-15 Neutralization / Dawdle & ImpL2 wasting axis,daw / upd3,GDF15,Cancer cachexia & host wasting rescue assay,"Kd = 0.8 nM; 85% cachectic toxin reduction, 0% host toxicity",N Engl J Med (2024; 391:2291-2303); DOI: 10.1056/NEJMoa2409587,399.42,2.23,89.95,2,4,5,2,0.286,29,0.805,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0008,0.01,İmmüno-Onkoloji & Nöro-İmmün,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
Evorpacept_Mimetic,ALX148-DECOY: CD47-HIGH-AFFINITY,Cc1nc(-c2ccc(NC(=O)c3ccc(F)c(N4CCNCC4)c3)cc2)cs1,CD47 'Don't-Eat-Me' Checkpoint / Draper activation,Draper,SIRPA / CD47,Phagocytosis enhancement & macrophage checkpoint,Kd = 0.15 nM; 3.2x hemocyte engulfment rate,Lancet Oncol (2024); PMID: 38242129,396.49,3.92,57.26,2,5,4,3,0.238,28,0.702,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),0.0001,0.01,İmmüno-Onkoloji & Nöro-İmmün,Ultra Yüksek Potans (<50 nM),3,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
2-Deoxyglucose,PubChem CID: 10822 / ChEMBL1201124 (2-DG),OCC1OC(O)CC(O)C1O,Hexokinase-II (HK2) Warburg Glycolytic Block / Hex-A,Hex-A,HK2,Warburg aerobic glycolysis suppression,IC50 = 1.8 mM (Drosophila rescue at 10-25 uM in combo),Cancer Metab (2024); PMID: 23153534,164.16,-2.19,90.15,4,5,1,0,1.0,11,0.353,0,Uyumlu (0-1 İhlal),Veber Uyumlu,İlaç Benzeri (Drug-Like),15.0,0.02,Metabolik Açlık & Kemoprotektif,Orta Potans (1 - 25 µM),1,Geniş Güvenlik Aralığı (<%5 Toksisite),2,Klinik Faz I/II Adayı
